X,N,b,Y
-7.700000,-2.000000,4.866371,0.006205
-7.600000,-2.000000,4.966371,0.001596
-7.500000,-2.000000,5.066371,-0.012701
-7.400000,-2.000000,5.166371,-0.036100
-7.300000,-2.000000,5.266371,-0.067744
-7.200000,-2.000000,5.366371,-0.106517
-7.100000,-2.000000,5.466371,-0.151081
-7.000000,-2.000000,5.566371,-0.199900
-6.900000,-2.000000,5.666371,-0.251281
-6.800000,-2.000000,5.766371,-0.303414
-6.700000,-2.000000,5.866371,-0.354418
-6.600000,-2.000000,5.966371,-0.402384
-6.500000,-2.000000,6.066371,-0.445424
-6.400000,-2.000000,6.166371,-0.481715
-6.300000,-2.000000,6.266371,-0.509551
-6.200000,-1.000000,0.083185,-0.527381
-6.100000,-1.000000,0.183185,-0.533851
-6.000000,-1.000000,0.283185,-0.527846
-5.900000,-1.000000,0.383185,-0.508513
-5.800000,-1.000000,0.483185,-0.475298
-5.700000,-1.000000,0.583185,-0.427959
-5.600000,-1.000000,0.683185,-0.366582
-5.500000,-1.000000,0.783185,-0.291588
-5.400000,-1.000000,0.883185,-0.203734
-5.300000,-1.000000,0.983185,-0.104104
-5.200000,-1.000000,1.083185,0.005906
-5.100000,-1.000000,1.183185,0.124611
-5.000000,-1.000000,1.283185,0.250063
-4.900000,-1.000000,1.383185,0.380087
-4.800000,-1.000000,1.483185,0.512322
-4.700000,-1.000000,1.583185,0.644265
-4.600000,-1.000000,1.683185,0.773318
-4.500000,-1.000000,1.783185,0.896842
-4.400000,-1.000000,1.883185,1.012211
-4.300000,-1.000000,1.983185,1.116861
-4.200000,-1.000000,2.083185,1.208349
-4.100000,-1.000000,2.183185,1.284406
-4.000000,-1.000000,2.283185,1.342979
-3.900000,-1.000000,2.383185,1.382286
-3.800000,-1.000000,2.483185,1.400854
-3.700000,-1.000000,2.583185,1.397555
-3.600000,-1.000000,2.683185,1.371637
-3.500000,-1.000000,2.783185,1.322746
-3.400000,-1.000000,2.883185,1.250943
-3.300000,-1.000000,2.983185,1.156711
-3.200000,-1.000000,3.083185,1.040958
-3.100000,-1.000000,3.183185,0.905003
-3.000000,-1.000000,3.283185,0.750562
-2.900000,-1.000000,3.383185,0.579728
-2.800000,-1.000000,3.483185,0.394932
-2.700000,-1.000000,3.583185,0.198909
-2.600000,-1.000000,3.683185,-0.005348
-2.500000,-1.000000,3.783185,-0.214641
-2.400000,-1.000000,3.883185,-0.425618
-2.300000,-1.000000,3.983185,-0.634835
-2.200000,-1.000000,4.083185,-0.838815
-2.100000,-1.000000,4.183185,-1.034110
-2.000000,-1.000000,4.283185,-1.217369
-1.900000,-1.000000,4.383185,-1.385391
-1.800000,-1.000000,4.483185,-1.535191
-1.700000,-1.000000,4.583185,-1.664052
-1.600000,-1.000000,4.683185,-1.769580
-1.500000,-1.000000,4.783185,-1.849745
-1.400000,-1.000000,4.883185,-1.902928
-1.300000,-1.000000,4.983185,-1.927945
-1.200000,-1.000000,5.083185,-1.924079
-1.100000,-1.000000,5.183185,-1.891092
-1.000000,-1.000000,5.283185,-1.829237
-0.900000,-1.000000,5.383185,-1.739251
-0.800000,-1.000000,5.483185,-1.622352
-0.700000,-1.000000,5.583185,-1.480216
-0.600000,-1.000000,5.683185,-1.314951
-0.500000,-1.000000,5.783185,-1.129062
-0.400000,-1.000000,5.883185,-0.925413
-0.300000,-1.000000,5.983185,-0.707170
-0.200000,-1.000000,6.083185,-0.477756
-0.100000,-1.000000,6.183185,-0.240784
0.000000,0.000000,0.000000,0.000000
0.100000,0.000000,0.100000,0.240784
0.200000,0.000000,0.200000,0.477756
0.300000,0.000000,0.300000,0.707170
0.400000,0.000000,0.400000,0.925413
0.500000,0.000000,0.500000,1.129062
0.600000,0.000000,0.600000,1.314951
0.700000,0.000000,0.700000,1.480216
0.800000,0.000000,0.800000,1.622352
0.900000,0.000000,0.900000,1.739251
1.000000,0.000000,1.000000,1.829237
1.100000,0.000000,1.100000,1.891092
1.200000,0.000000,1.200000,1.924079
1.300000,0.000000,1.300000,1.927945
1.400000,0.000000,1.400000,1.902928
1.500000,0.000000,1.500000,1.849745
1.600000,0.000000,1.600000,1.769580
1.700000,0.000000,1.700000,1.664052
1.800000,0.000000,1.800000,1.535191
